Type,Year,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Flag,Actual,W/L
Disposal,2025,10,Rory Laird,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,22.5,5%,33%,,,27,-1
Disposal,2025,10,Mitchell Hinge,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,18,1%,44%,,,21,-1
Disposal,2025,10,Wayne Milera,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,17,-1%,56%,,,17,0
Disposal,2025,10,Alex Neal-Bullen,ADE,COL,MedF,✅ Neutral,✅ Neutral,🟡 Slight Unders,17,1%,33%,,,9,1
Disposal,2025,10,Ben Keays,ADE,COL,MedF,✅ Neutral,✅ Neutral,🟡 Slight Unders,17,5%,33%,,,7,1
Disposal,2025,10,Josh Rachele,ADE,COL,FwdMid,✅ Neutral,✅ Neutral,🟡 Slight Unders,12.5,-1%,56%,,,14,-1
Tackle,2025,10,Cam Rayner,BRL,MEL,MedF,✅ Neutral,✅ Neutral,🟡 Slight Unders,2.5,2%,67%,,,1,1
Mark,2025,10,Jacob Weitering,CAR,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,7,18%,56%,,,4,1
Mark,2025,10,Mitch McGovern,CAR,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,5,4%,56%,,,3,1
Disposal,2025,10,Patrick Lipinski,COL,ADE,Wing,✅ Neutral,✅ Neutral,🔴 Strong Unders,18.5,8%,33%,,,5,1
Disposal,2025,10,Andrew McGrath,ESS,WBD,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,21.5,3%,50%,,,25,-1
Disposal,2025,10,Jaxon Prior,ESS,WBD,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,15,2%,50%,,,17,-1
Disposal,2025,10,Mason Redman,ESS,WBD,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,22,-4%,88%,,,27,-1
Mark,2025,10,Jake Bowey,MEL,BRL,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6,-2%,67%,,,8,-1
Tackle,2025,10,Andrew Brayshaw,FRE,GWS,InsM,🟠 Moderate (Long Travel),🔵 Avoid (Rain),🔴 Strong Unders,6,11%,44%,,🔵 Avoid (Rain),6,0
Tackle,2025,10,Caleb Serong,FRE,GWS,InsM,🟠 Moderate (Long Travel),🔵 Avoid (Rain),🔴 Strong Unders,4.5,-4%,68%,,🔵 Avoid (Rain),3,1
Mark,2025,10,Josh Treacy,FRE,GWS,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,5,13%,56%,,,2,1
Disposal,2025,10,Jordan Clark,FRE,GWS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,23,2%,56%,,,21,1
Disposal,2025,10,Brennan Cox,FRE,GWS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,12,1%,44%,,,6,1
Disposal,2025,10,Karl Worner,FRE,GWS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,13,6%,50%,,,8,1
Disposal,2025,10,Shai Bolton,FRE,GWS,FwdMid,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,18.5,-1%,38%,,,24,-1
Disposal,2025,10,Patrick Voss,FRE,GWS,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,8.5,15%,20%,,,11,-1
