Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,TOG Trend,CBA Trend,Role Status,Score,Bet Flag,Avg vs Line,Line Consistency,Overall Score,Bet Confidence,Line,Actual,W/L,Uncertain Role,Notes,Avg v Line CALC,Line Consistency CALC
Disposal,11,Joe Richards,PTA,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,6.0 - Consider,,-2%,50%,6,AVOID,14.5,13,1,,,0,0
Disposal,12,Braeden Campbell,SYD,ADE,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,⚠️ Flat,📈 Increasing,📉 LOW USAGE,4.5 - Consider,🟡 CONSIDER,0%,36%,4.5,,13.5,8,1,1,,0,0
Disposal,12,James Jordon,SYD,ADE,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,⚠️ Flat,⚠️ Flat,⚠️ UNSTABLE,5.5 - Consider,🚫 SKIP - Hybrid Position,9,36%,5.5,,14.5,11,1,1,,0,0
Disposal,10,Alex Neal-Bullen,ADE,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4 - Consider,,1%,33%,4,Weak,17,9,1,,,0,0
Disposal,10,Ben Keays,ADE,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,5 - Consider,,5%,33%,4.5,Consider,17,7,1,,,0,0
Disposal,10,Josh Rachele,ADE,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,📈 Increasing,📈 Increasing,📉 LOW USAGE,4 - Consider,,-1%,56%,4.5,Consider,12.5,14,-1,1,,0,0.5
Disposal,10,Tom Atkins,GEE,PTA,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,⚠️ Flat,📉 Declining,🎯 STABLE,4 - Consider,,3%,44%,3,Weak,18,23,-1,,,0,0
Disposal,11,Harvey Langford,MEL,SYD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,6.0 - Consider,,4%,44%,6,AVOID,19.5,21,-1,,,0,0
Disposal,11,Tom Powell,NTH,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,6.0 - Consider,,16%,30%,6,AVOID,19.5,28,-1,,,0,0
Disposal,12,Dylan Moore,HAW,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,📈 Increasing,⚠️ Flat,⚠️ UNSTABLE,4.0 - Consider,🟡 CONSIDER,-5%,60%,5.5,,17,18,-1,,,1,0.5
Disposal,12,Jaspa Fletcher,BRL,ESS,Wing,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,⚠️ Flat,⚠️ Flat,⚠️ UNSTABLE,7.0 - Good Play,🟢 STRONG BET,-3%,46%,7,,20.5,21,-1,,,0,0
Disposal,12,Zac Bailey,BRL,ESS,Wing,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🟢 STRONG BET,5%,55%,4.5,,16.5,20,-1,,,0,0.5
Disposal,11,Jase Burgoyne,PTA,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,7.0 - Consider,,2%,40%,7,Consider,20.5,18,1,,,0,0
Disposal,11,Jackson Mead,PTA,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,⚠️ Flat,📉 Declining,📉 LOW USAGE,7.0 - Consider,,8%,50%,7,Consider,14.5,5,1,,,0,0
Disposal,10,Mitchell Hinge,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,5 - Consider,,1%,44%,5,Consider,18,21,-1,,,0,0
Disposal,10,Wayne Milera,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4 - Consider,,-1%,56%,4.5,Consider,17,17,0,,,0,0.5
Disposal,10,Rory Laird,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4 - Consider,,5%,33%,3.5,Weak,22.5,27,-1,,,0,0
Disposal,12,Jake Soligo,ADE,SYD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,📈 Increasing,⚠️ Flat,⚠️ UNSTABLE,5.5 - Consider,🚫 SKIP - Position,3%,46%,5.5,,21.5,15,1,1,,0,0
Mark,12,Xavier Duursma,ESS,BRL,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,4.0 - Consider,🟢 STRONG BET,14%,70%,5,,5,4,1,,,0,1
Disposal,12,Sam Durham,ESS,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,📈 Increasing,📉 Declining,⚠️ UNSTABLE,7.0 - Good Play,🚫 SKIP - Position,6%,40%,7,,22,8,1,1,,0,0
Disposal,12,Jye Caldwell,ESS,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,📈 Increasing,📈 Increasing,🎯 STABLE,4.0 - Consider,🚫 SKIP - Position,9%,50%,4,,23.5,30,-1,,,0,0
Disposal,12,Zach Merrett,ESS,BRL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,📈 Increasing,⚠️ Flat,🎯 STABLE,4.0 - Consider,🚫 SKIP - Position,5%,50%,4,,28,28,0,,,0,0
Disposal,12,Patrick Voss,FRE,GCS,KeyF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,6.0 - Good Play,🟢 STRONG BET,16%,29%,6,,9,7,1,,,0,0
Disposal,12,Jye Amiss,FRE,GCS,KeyF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,📈 Increasing,⚠️ Flat,⚠️ UNSTABLE,7.0 - Good Play,🟢 STRONG BET,-3%,79%,8,,8,9,-1,,,0,1
Disposal,12,Josh Treacy,FRE,GCS,KeyF,🟠 Moderate (Long Travel),⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,6.0 - Good Play,🟢 STRONG BET,-4%,55%,6.5,,11.5,15,-1,,,0,0.5
Disposal,12,Bailey Humphrey,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,⚠️ Flat,📈 Increasing,⚠️ UNSTABLE,6.0 - Good Play,🚫 SKIP - Hybrid Position,-9%,50%,7,,18.5,12,1,1,,1,0
Disposal,12,Sam Flanders,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,📈 Increasing,📉 Declining,📉 LOW USAGE,5.0 - Good Play,🚫 SKIP - Hybrid Position,2%,33%,5,,18.5,16,1,,,0,0
Disposal,12,Ben Long,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,5.0 - Good Play,🟡 CONSIDER,4%,44%,5,,11.5,11,1,,,0,0
Disposal,12,Ben Ainsworth,GCS,FRE,GenF,✅ Neutral,⚠️ Medium Unders Edge (Rain),🟡 Slight Unders,📈 Increasing,⚠️ Flat,📉 LOW USAGE,5.0 - Good Play,🟡 CONSIDER,5%,33%,5,,14.5,13,1,,,0,0
Disposal,11,Nick Vlastuin,RIC,ESS,GenD,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,6.3 - Consider,,-3%,50%,6.3,AVOID,19,24,-1,,,0,0
Disposal,10,Jesse Hogan,GWS,FRE,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,5 - Consider,,3%,75%,6,Consider,12.5,11,1,,,0,1
Disposal,10,Caleb Windsor,MEL,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4 - Consider,,1%,57%,4.5,Consider,17.5,6,1,,,0,0.5
Disposal,10,Judd McVee,MEL,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4 - Consider,,0%,44%,4,Weak,16,13,1,,,0,0
Disposal,10,Tom McDonald,MEL,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,5 - Consider,,6%,33%,4.5,Consider,15,16,-1,,,0,0
Disposal,12,Reuben Ginbey,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4.5 - Consider,🚫 SKIP - Position,8%,73%,5.5,,11.5,16,-1,,,0,1
Disposal,12,Liam Duggan,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4.5 - Consider,🚫 SKIP - Position,-2%,55%,5,,19,23,-1,,,0,0.5
Disposal,12,Ryan Maric,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4.5 - Consider,🚫 SKIP - Position,-1%,55%,5,,22.5,15,1,,,0,0.5
Disposal,12,Liam Baker,WCE,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4.5 - Consider,🚫 SKIP - Position,3%,27%,4.5,,21.5,29,-1,1,,0,0
Mark,10,Jeremy Cameron,GEE,PTA,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,📉 Declining,⚠️ Flat,📉 LOW USAGE,5 - Consider,,4%,56%,6,Consider,5,8,-1,,,0,0.5
Mark,11,Josh Battle,HAW,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,📉 Declining,⚠️ Flat,⚠️ UNSTABLE,7.0 - Consider,,4%,50%,7,Consider,5.5,6,-1,,,0,0
Disposal,12,Nathan Broad,RIC,GWS,KeyD,✅ Neutral,✅ Neutral,🟡 Slight Unders,⚠️ Flat,⚠️ Flat,📉 LOW USAGE,4.5 - Consider,🟡 CONSIDER,-2%,56%,5,,15,17,-1,,,0,0.5
Disposal,12,Brady Hough,WCE,GEE,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,📈 Increasing,📉 Declining,⚠️ UNSTABLE,5.5 - Consider,🚫 SKIP - Position,-2%,73%,6.5,,15,9,1,,,0,1
