Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Bet Priority,Bet Tier,Bet Flag,Avg vs Line,Line Consistency,Bet Confidence,Line,Actual,W/L,,🔷 Moderate Easy,🔹 Slight Easy,🔵 Strong Easy
Mark,15,Lawson Humphries,GEE,BRL,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,8%,46%,,5.5,4,1,,,,
Mark,15,Lachie Ash,GWS,GCS,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),6%,50%,,6.5,4,1,,,,
Mark,15,Sam Banks,RIC,WBD,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,-29%,75%,,5.5,1,1,,,,
Tackle,12,Marcus Windhager,STK,MEL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - Position,-16%,82%,,4,4,0,,,,
Mark,15,Oliver Hollands,CAR,NTH,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,12%,53%,,5,5,0,,,,
Mark,15,Nick Larkey,NTH,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,11%,44%,,4,3,1,,,,
Mark,15,Jack Darling,NTH,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,-10%,60%,,4,2,1,,,,
Disposal,15,Noah Answerth,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,3%,50%,,13.5,13,1,,,,
Disposal,10,Jake Bowey,MEL,BRL,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,,5%,56%,#REF!,23,22,1,,,,
Mark,15,Noah Answerth,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,4%,64%,,5,4,1,,,,
Mark,15,Darcy Wilmot,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,4%,43%,,5,5,0,,,,
Mark,15,Ryan Lester,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,4%,50%,,5,6,-1,,,,
Mark,15,Aaron Cadman,GWS,GCS,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,0%,57%,,4.5,3,1,,,,
Disposal,15,Jarrod Berry,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,2%,58%,,19.5,26,-1,,,,
Disposal,15,Ryan Lester,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,6%,43%,,13,14,-1,,,,
Mark,15,Jesse Hogan,GWS,GCS,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,21%,55%,,4.5,7,-1,,,,
Disposal,10,Christian Salem,MEL,BRL,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,,10%,44%,#REF!,20.5,20,1,,,,
Mark,15,Nick Vlastuin,RIC,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,20%,69%,,5,7,-1,,,,
Mark,15,Tom Brown,RIC,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,11%,54%,,4.5,3,-1,,,,
Mark,13,Sam Banks,RIC,SYD,Des,✅ Neutral,⚠️ Medium Unders Edge (Rain),🔴 Strong Unders,,,🟡 CONSIDER - Strong DvP,12%,40%,,5,4,1,,,,
Disposal,15,Zac Bailey,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,10%,50%,,16,19,-1,,,,
Mark,15,Blake Acres,CAR,NTH,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,5%,55%,,4.5,7,-1,,,,
Mark,15,Lachie Whitfield,GWS,GCS,Des,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,18%,50%,,6,1,1,,,,
Mark,15,Mark O'Connor,GEE,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,1%,64%,,6,3,1,,,,
Mark,15,Zach Guthrie,GEE,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,5%,71%,,6,3,1,,,,
Mark,15,Josh Daicos,COL,STK,Des,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),-15%,75%,,6.5,6,1,,,,
Mark,15,Connor Rozee,PTA,SYD,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,-11%,62%,,5.5,4,1,,,,
Mark,15,Jeremy Howe,COL,STK,GenD,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,-20%,64%,,6,5,1,,,,
Mark,15,Jack Sinclair,STK,COL,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,🚫 SKIP - No Strategy,-11%,62%,,5.5,3,1,,,,
Mark,15,Caleb Daniel,NTH,CAR,Des,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - No Strategy,14%,46%,,3.5,3,1,,,,
Mark,15,John Noble,GCS,GWS,Des,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,27%,50%,,4,3,1,,,,
Disposal,15,Dayne Zorko,BRL,GEE,Des,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🚫 SKIP - No Strategy,4%,50%,,25.5,33,-1,,,,
Mark,15,Daniel Rioli,GCS,GWS,Des,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #9 - Strong DvP + Marks + GenD,-4%,58%,,4,2,1,,,,
Mark,15,Dayne Zorko,BRL,GEE,Des,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),1%,50%,,7,7,0,,,,
Disposal,15,Lachie Neale,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - No Strategy,5%,50%,,25,17,1,,,,
Disposal,15,Hugh McCluggage,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - No Strategy,3%,50%,,26,22,-1,,,,
Disposal,15,Josh Dunkley,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - No Strategy,4%,50%,,23,30,-1,,,,
Mark,15,Nick Blakey,SYD,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - No Strategy,5%,67%,,5,5,0,,,,
Mark,15,Riley Bice,SYD,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - No Strategy,20%,50%,,4.5,0,1,,,,
Mark,15,Dane Rampe,SYD,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,,,🚫 SKIP - No Strategy,0%,62%,,4,4,0,,,,
Mark,15,Nic Martin,ESS,FRE,Des,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),10%,46%,,7,7,0,,,,
