Type,Bet Priority,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,,Bet Tier,Bet Flag,Avg vs Line,Line Consistency,Bet Confidence,Line,Actual,W/L
Tackle,11,Adam Cerra,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,,,🔵 Avoid (Rain),0%,50%,#REF!,4.5,6,-1
Tackle,11,Patrick Cripps,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,,,🔵 Avoid (Rain),-3%,50%,#REF!,6,7,-1
Tackle,10,Andrew Brayshaw,FRE,GWS,InsM,🟠 Moderate (Long Travel),🔵 Avoid (Rain),🔴 Strong Unders,,,🔵 Avoid (Rain),11%,44%,#REF!,6,6,0
Tackle,10,Caleb Serong,FRE,GWS,InsM,🟠 Moderate (Long Travel),🔵 Avoid (Rain),🔴 Strong Unders,,,🔵 Avoid (Rain),-4%,68%,#REF!,4.5,3,1
Tackle,11,George Hewett,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,,,🔵 Avoid (Rain),7%,50%,#REF!,6,1,1
Tackle,15,Jack Macrae,STK,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #7 - Strong DvP + Tackle,7%,63%,,5,6,-1
Tackle,15,Hunter Clark,STK,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #7 - Strong DvP + Tackle,20%,60%,,4,5,-1
Tackle,15,Marcus Windhager,STK,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #7 - Strong DvP + Tackle,-14%,85%,,4,1,1
Disposal,10,Jake Bowey,MEL,BRL,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,,5%,56%,#REF!,23,22,1
Tackle,15,Bailey Humphrey,GCS,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #7 - Strong DvP + Tackle,17%,67%,,4,3,1
Tackle,15,Matt Rowell,GCS,GWS,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #7 - Strong DvP + Tackle,-4%,67%,,8.5,8,1
Tackle,15,Jack Steele,STK,COL,InsM,✅ Neutral,✅ Neutral,🔴 Strong Unders,,,🤔 CONSIDER #7 - Strong DvP + Tackle,7%,58%,,7.5,5,1
Tackle,15,Will Setterfield,ESS,FRE,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,1%,40%,,7.5,5,1
Tackle,15,Jye Caldwell,ESS,FRE,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,-8%,44%,,7.5,5,1
Tackle,15,Zach Merrett,ESS,FRE,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,-18%,62%,,4.5,3,1
Tackle,15,Josh Dunkley,BRL,GEE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,,,🤔 CONSIDER #8 - Long Travel + InsM + Tackle,8%,57%,,6,10,-1
Disposal,10,Christian Salem,MEL,BRL,Des,✅ Neutral,✅ Neutral,✅ Neutral,,,,10%,44%,#REF!,20.5,20,1
