Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Tier,Bet Flag,Actual,W/L
Tackle,10,Andrew Brayshaw,FRE,GWS,InsM,🟠 Moderate (Long Travel),🔵 Avoid (Rain),🔴 Strong Unders,6,11%,44%,,,🔵 Avoid (Rain),6,0
Tackle,10,Caleb Serong,FRE,GWS,InsM,🟠 Moderate (Long Travel),🔵 Avoid (Rain),🔴 Strong Unders,4.5,-4%,68%,,,🔵 Avoid (Rain),3,1
Disposal,10,Jake Bowey,MEL,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,23,5%,56%,,,,22,1
Disposal,10,Christian Salem,MEL,BRL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,20.5,10%,44%,,,,20,1
Mark,10,Ed Langdon,MEL,BRL,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5,27%,33%,,,,6,-1
Disposal,10,Matt Roberts,SYD,CAR,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,23,8%,22%,,,,20,1
Tackle,10,Shaun Mannagh,GEE,PTA,GenF,✅ Neutral,🔵 Avoid (Rain),🔷 Moderate Easy,4.5,33%,33%,,,,2,1
Tackle,10,Sam Powell-Pepper,PTA,GEE,GenF,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,3.5,-11%,56%,,,,2,1
Tackle,10,Ryley Sanders,WBD,ESS,GenF,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,4,-8%,89%,,,,1,1
Tackle,10,Cam Rayner,BRL,MEL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,2.5,2%,67%,,,,1,1
Tackle,10,Jack Steele,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,5,50%,25%,,,,14,-1
Disposal,10,Rory Laird,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,22.5,5%,33%,,,,27,-1
