Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Flag,Actual,W/L
Disposal,10,Rory Laird,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,22.5,5%,33%,,,27,-1
Disposal,10,Mitchell Hinge,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,18,1%,44%,,,21,-1
Disposal,10,Wayne Milera,ADE,COL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,17,-1%,56%,,,17,0
Disposal,10,Alex Neal-Bullen,ADE,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,17,1%,33%,,,9,1
Disposal,10,Ben Keays,ADE,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,17,5%,33%,,,7,1
Disposal,10,Josh Rachele,ADE,COL,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,12.5,-1%,56%,,,14,-1
Disposal,11,Isaac Cumming,ADE,WCE,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,15.5,-8%,60%,,,16,-1
Tackle,11,James Peatling,ADE,WCE,InsM,✅ Neutral,✅ Neutral,✅ Neutral,5,0%,78%,,,5,0
Disposal,12,Jake Soligo,ADE,SYD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,21.5,3%,46%,,,15,1
Disposal,12,Mark Keane,ADE,SYD,KeyD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,13.5,-6%,64%,,🟡 CONSIDER,23,-1
Mark,12,Mark Keane,ADE,SYD,KeyD,✅ Neutral,✅ Neutral,🔴 Strong Unders,4.5,-11%,46%,,🟢 STRONG BET,10,-1
Mark,14,Rory Laird,ADE,HAW,GenD,✅ Neutral,✅ Neutral,✅ Neutral,5,18%,58%,,,5,0
Mark,14,Riley Thilthorpe,ADE,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,5.5,1%,54%,,🟢 AUTO-BET - KeyF Mark (Priority #1),1,1
Mark,18,Christian Salem,MEL,NTH,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6.5,-16%,31%,,SKIP - No Strategy,8,-1
Mark,14,Mitchell Hinge,ADE,HAW,GenD,✅ Neutral,✅ Neutral,✅ Neutral,4.5,4%,42%,,,5,-1
Mark,14,Taylor Walker,ADE,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,4,15%,50%,,,5,-1
Mark,16,Darcy Fogarty,ADE,RIC,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,5,-5%,62%,,,3,1
Mark,16,Riley Thilthorpe,ADE,RIC,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,-5%,57%,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),6,-1
Mark,17,Riley Thilthorpe,ADE,MEL,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,-4%,50%,1,KeyF + Mark + Line >5.0,5,1
Mark,17,Josh Worrell,ADE,MEL,GenD,✅ Neutral,✅ Neutral,🔵 Strong Easy,6,-11%,80%,,,5,1
Mark,17,Mitchell Hinge,ADE,MEL,GenD,✅ Neutral,✅ Neutral,🔵 Strong Easy,6,-13%,72%,,,2,1
Mark,17,Rory Laird,ADE,MEL,GenD,✅ Neutral,✅ Neutral,🔵 Strong Easy,6.5,-8%,57%,,,4,1
Mark,17,Darcy Fogarty,ADE,MEL,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4.5,3%,50%,,,6,-1
Disposal,18,Alex Neal-Bullen,ADE,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,15.5,-4%,50%,,SKIP - No Strategy,11,1
Disposal,18,Ben Keays,ADE,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,17,0%,31%,,SKIP - No Strategy,19,-1
Disposal,18,Brodie Smith,ADE,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,32.5,127%,100%,,SKIP - No Strategy,0,1
Disposal,18,Daniel Curtin,ADE,WBD,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,13.5,15%,69%,,SKIP - No Strategy,26,-1
Disposal,18,Darcy Fogarty,ADE,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,10.5,0%,47%,,SKIP - No Strategy,13,-1
Disposal,18,Isaac Cumming,ADE,WBD,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,14.5,0%,56%,,SKIP - No Strategy,14,1
Disposal,18,Izak Rankine,ADE,WBD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,20,-8%,38%,,SKIP - No Strategy,18,1
Disposal,18,Jake Soligo,ADE,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,18.5,-11%,31%,,SKIP - No Strategy,22,-1
Disposal,18,James Peatling,ADE,WBD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,20.5,0%,43%,,SKIP - No Strategy,12,1
Disposal,18,Jordan Dawson,ADE,WBD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,24.5,2%,50%,,SKIP - No Strategy,27,-1
Disposal,18,Jordon Butts,ADE,WBD,KeyD,✅ Neutral,✅ Neutral,🔵 Strong Easy,8.5,23%,67%,,SKIP - No Strategy,2,1
Disposal,18,Josh Worrell,ADE,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,20,0%,56%,,SKIP - No Strategy,21,-1
Disposal,18,Mark Keane,ADE,WBD,KeyD,✅ Neutral,✅ Neutral,🔵 Strong Easy,15.5,12%,63%,,SKIP - No Strategy,12,1
Disposal,18,Max Michalanney,ADE,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,11.5,-9%,50%,,SKIP - No Strategy,16,-1
Disposal,18,Mitchell Hinge,ADE,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,17,-5%,47%,,SKIP - No Strategy,14,1
Disposal,18,Reilly O'Brien,ADE,WBD,Ruck,✅ Neutral,✅ Neutral,🔹 Slight Easy,13,7%,44%,,SKIP - No Strategy,17,-1
Disposal,18,Riley Thilthorpe,ADE,WBD,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,13.5,1%,50%,,SKIP - No Strategy,17,-1
Disposal,18,Rory Laird,ADE,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,25,4%,53%,,SKIP - No Strategy,22,1
Disposal,18,Sam Berry,ADE,WBD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,17.5,21%,80%,,SKIP - No Strategy,11,1
Disposal,18,Taylor Walker,ADE,WBD,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,11.5,-4%,33%,,SKIP - No Strategy,15,-1
Disposal,18,Wayne Milera,ADE,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,17.5,-1%,60%,,SKIP - No Strategy,12,1
Mark,18,Darcy Fogarty,ADE,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4.5,-5%,47%,,SKIP - No Strategy,7,-1
Mark,18,Jordan Dawson,ADE,WBD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,-10%,50%,,SKIP - No Strategy,4,1
Mark,18,Josh Worrell,ADE,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,14%,56%,,SKIP - No Strategy,8,-1
Mark,18,Mitchell Hinge,ADE,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,0%,40%,,SKIP - No Strategy,6,-1
Mark,18,Riley Thilthorpe,ADE,WBD,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,5%,56%,,SKIP - No Strategy,9,-1
Mark,18,Taylor Walker,ADE,WBD,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4.5,-4%,47%,,SKIP - No Strategy,9,-1
Tackle,18,Alex Neal-Bullen,ADE,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4,7%,44%,,SKIP - No Strategy,4,0
Tackle,18,Ben Keays,ADE,WBD,GenF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4,23%,63%,,SKIP - No Strategy,1,1
