Type,Year,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Flag,Actual,W/L,line_val,wl,ha,venue
Tackle,2025.0,10.0,Cam Rayner,BRL,MEL,MedF,✅ Neutral,✅ Neutral,🟡 Slight Unders,2.5,2%,67%,,,1.0,1.0,2.5,1.0,home,Gabba
Tackle,2025.0,10.0,Andrew Brayshaw,FRE,GWS,InsM,🟠 Moderate (Long Travel),🔵 Avoid (Rain),🔴 Strong Unders,6.0,11%,44%,,🔵 Avoid (Rain),6.0,0.0,6.0,0.0,away,ENGIE Stadium
Tackle,2025.0,10.0,Caleb Serong,FRE,GWS,InsM,🟠 Moderate (Long Travel),🔵 Avoid (Rain),🔴 Strong Unders,4.5,-4%,68%,,🔵 Avoid (Rain),3.0,1.0,4.5,1.0,away,ENGIE Stadium
Tackle,2025.0,10.0,Shaun Mannagh,GEE,PTA,MedFF,✅ Neutral,🔵 Avoid (Rain),🔷 Moderate Easy,4.5,33%,33%,,,2.0,1.0,4.5,1.0,away,Adelaide Oval
Tackle,2025.0,10.0,Tom Atkins,GEE,PTA,InsM,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,8.0,28%,33%,,,5.0,1.0,8.0,1.0,away,Adelaide Oval
Tackle,2025.0,10.0,Kysaiah Pickett,MEL,BRL,FwdMid,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.0,-4%,83%,,,3.0,1.0,4.0,1.0,away,Gabba
Tackle,2025.0,10.0,Kade Chandler,MEL,BRL,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,5%,67%,,,0.0,1.0,3.5,1.0,away,Gabba
Tackle,2025.0,10.0,Sam Powell-Pepper,PTA,GEE,InsM,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,3.5,-11%,56%,,,2.0,1.0,3.5,1.0,home,Adelaide Oval
Tackle,2025.0,10.0,Jack Steele,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,5.0,50%,25%,,,14.0,-1.0,5.0,-1.0,away,Optus Stadium
Tackle,2025.0,10.0,Jack Macrae,STK,WCE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,5.0,13%,56%,,,3.0,1.0,5.0,1.0,away,Optus Stadium
Tackle,2025.0,10.0,Rowan Marshall,STK,WCE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,3.5,5%,33%,,,5.0,-1.0,3.5,-1.0,away,Optus Stadium
Tackle,2025.0,10.0,Marcus Windhager,STK,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,4.0,-8%,78%,,,0.0,1.0,4.0,1.0,away,Optus Stadium
Tackle,2025.0,10.0,Ryley Sanders,WBD,ESS,Wing,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,4.0,-8%,89%,,,1.0,1.0,4.0,1.0,home,Marvel Stadium
Tackle,2025.0,11.0,James Peatling,ADE,WCE,InsM,✅ Neutral,✅ Neutral,✅ Neutral,5.0,0%,78%,,,5.0,0.0,5.0,0.0,home,Adelaide Oval
Tackle,2025.0,11.0,Adam Cerra,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,4.5,0%,50%,,🔵 Avoid (Rain),6.0,-1.0,4.5,-1.0,home,Marvel Stadium
Tackle,2025.0,11.0,Patrick Cripps,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,6.0,-3%,50%,,🔵 Avoid (Rain),7.0,-1.0,6.0,-1.0,home,Marvel Stadium
Tackle,2025.0,11.0,George Hewett,CAR,GWS,InsM,✅ Neutral,🔵 Avoid (Rain),🔴 Strong Unders,6.0,7%,50%,,🔵 Avoid (Rain),1.0,1.0,6.0,1.0,home,Marvel Stadium
Tackle,2025.0,11.0,Andrew Brayshaw,FRE,PTA,InsM,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,6.0,10%,50%,,,8.0,-1.0,6.0,-1.0,home,Optus Stadium
Tackle,2025.0,11.0,Max Holmes,GEE,WBD,InsM,🟡 Slight (Short Break),✅ Neutral,🟡 Slight Unders,3.0,23%,60%,,,3.0,0.0,3.0,0.0,home,GMHBA Stadium
Tackle,2025.0,11.0,Nick Watson,HAW,BRL,SmF,✅ Neutral,🔵 Avoid (Rain),🟡 Slight Unders,2.5,4%,60%,,,0.0,1.0,2.5,1.0,home,MCG
Tackle,2025.0,11.0,Tom Sparrow,MEL,SYD,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,17%,40%,,,5.0,-1.0,3.5,-1.0,home,MCG
Tackle,2025.0,11.0,Kade Chandler,MEL,SYD,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,3.0,10%,70%,,,4.0,-1.0,3.0,-1.0,home,MCG
Tackle,2025.0,11.0,Charlie Spargo,MEL,SYD,SmF,✅ Neutral,✅ Neutral,🟡 Slight Unders,2.5,-5%,50%,,,4.0,-1.0,2.5,-1.0,home,MCG
Tackle,2025.0,11.0,Kysaiah Pickett,MEL,SYD,FwdMid,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,6%,70%,,,4.0,-1.0,3.5,-1.0,home,MCG
Tackle,2025.0,11.0,Luke Davies-Uniacke,NTH,COL,InsM,✅ Neutral,🔵 Avoid (Rain),🟠 Moderate Unders,4.0,0%,60%,,,4.0,0.0,4.0,0.0,home,Marvel Stadium
Tackle,2025.0,11.0,Tom Powell,NTH,COL,InsM,✅ Neutral,🔵 Avoid (Rain),🟠 Moderate Unders,4.5,16%,40%,,,3.0,1.0,4.5,1.0,home,Marvel Stadium
Tackle,2025.0,11.0,George Wardlaw,NTH,COL,InsM,✅ Neutral,🔵 Avoid (Rain),🟠 Moderate Unders,5.5,0%,50%,,,4.0,1.0,5.5,1.0,home,Marvel Stadium
Tackle,2025.0,11.0,Marcus Windhager,STK,GCS,Wing,✅ Neutral,✅ Neutral,✅ Neutral,4.0,-18%,80%,,,4.0,0.0,4.0,0.0,home,Marvel Stadium
Tackle,2025.0,11.0,Jack Higgins,STK,GCS,SmF,✅ Neutral,✅ Neutral,🔵 Strong Easy,2.5,12%,50%,,,1.0,1.0,2.5,1.0,home,Marvel Stadium
Tackle,2025.0,11.0,Braeden Campbell,SYD,MEL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.0,7%,78%,,,7.0,-1.0,3.0,-1.0,away,MCG
Tackle,2025.0,11.0,James Rowbottom,SYD,MEL,InsM,✅ Neutral,✅ Neutral,🟡 Slight Unders,6.5,6%,56%,,,9.0,-1.0,6.5,-1.0,away,MCG
Tackle,2025.0,11.0,Ryley Sanders,WBD,GEE,Wing,🟡 Slight (Short Break),✅ Neutral,✅ Neutral,4.0,-15%,80%,,,8.0,-1.0,4.0,-1.0,away,GMHBA Stadium
Tackle,2025.0,11.0,Tim Kelly,WCE,ADE,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,3.5,4%,50%,,,3.0,1.0,3.5,1.0,away,Adelaide Oval
