match,player,stat,line,over_odds,under_odds,start_time,fixture_id,market_name,market_type
Carlton Blues v Brisbane Lions,Patrick Cripps,Goals,0.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Patrick Cripps goals 0.5,pickem_goals
Carlton Blues v Brisbane Lions,Charlie Curnow,Goals,2.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Charlie Curnow goals 2.5,pickem_goals
Carlton Blues v Brisbane Lions,Zac Williams,Goals,1.0,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Zac Williams goals 1,pickem_goals
Carlton Blues v Brisbane Lions,Logan Morris,Goals,2.0,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Logan Morris goals 2,pickem_goals
Carlton Blues v Brisbane Lions,Charlie Cameron,Goals,2.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Charlie Cameron goals 2.5,pickem_goals
Carlton Blues v Brisbane Lions,Adam Cerra,Disposals,24.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Adam Cerra disposals 24.5,pickem_disposals
Carlton Blues v Brisbane Lions,George Hewett,Disposals,27.0,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,George Hewett disposals 27,pickem_disposals
Carlton Blues v Brisbane Lions,Patrick Cripps,Disposals,23.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Patrick Cripps disposals 23.5,pickem_disposals
Carlton Blues v Brisbane Lions,Sam Docherty,Disposals,22.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Sam Docherty disposals 22.5,pickem_disposals
Carlton Blues v Brisbane Lions,Dayne Zorko,Disposals,25.0,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Dayne Zorko disposals 25,pickem_disposals
Carlton Blues v Brisbane Lions,Hugh McCluggage,Disposals,26.0,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Hugh McCluggage disposals 26,pickem_disposals
Carlton Blues v Brisbane Lions,Lachie Neale,Disposals,25.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Lachie Neale disposals 25.5,pickem_disposals
Carlton Blues v Brisbane Lions,Will Ashcroft,Disposals,26.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Will Ashcroft disposals 26.5,pickem_disposals
Carlton Blues v Brisbane Lions,George Hewett,Disposals,26.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,George Hewett disposals 26.5,pickem_disposals
Carlton Blues v Brisbane Lions,Patrick Cripps,Disposals,24.0,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Patrick Cripps disposals 24,pickem_disposals
Carlton Blues v Brisbane Lions,Will Ashcroft,Disposals,25.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Will Ashcroft disposals 25.5,pickem_disposals
Carlton Blues v Brisbane Lions,Zac Bailey,Disposals,18.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Zac Bailey disposals 18.5,pickem_disposals
Carlton Blues v Brisbane Lions,Oscar McInerney,Disposals,11.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Oscar McInerney disposals 11.5,pickem_disposals
Carlton Blues v Brisbane Lions,Tom De Koning,Disposals,18.0,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Tom De Koning disposals 18,pickem_disposals
Carlton Blues v Brisbane Lions,Tom De Koning,Disposals,14.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Tom De Koning disposals 14.5,pickem_disposals
Carlton Blues v Brisbane Lions,Adam Cerra,Tackles,4.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Adam Cerra tackles 4.5,pickem_tackles
Carlton Blues v Brisbane Lions,George Hewett,Tackles,6.0,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,George Hewett tackles 6,pickem_tackles
Carlton Blues v Brisbane Lions,Patrick Cripps,Tackles,5.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Patrick Cripps tackles 5.5,pickem_tackles
Carlton Blues v Brisbane Lions,Cooper Lord,Tackles,3.0,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Cooper Lord tackles 3,pickem_tackles
Carlton Blues v Brisbane Lions,Jesse Motlop,Tackles,4.0,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Jesse Motlop tackles 4,pickem_tackles
Carlton Blues v Brisbane Lions,Lachie Fogarty,Tackles,3.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Lachie Fogarty tackles 3.5,pickem_tackles
Carlton Blues v Brisbane Lions,Tom De Koning,Tackles,3.0,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Tom De Koning tackles 3,pickem_tackles
Carlton Blues v Brisbane Lions,Hugh McCluggage,Tackles,4.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Hugh McCluggage tackles 4.5,pickem_tackles
Carlton Blues v Brisbane Lions,Lachie Neale,Tackles,3.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Lachie Neale tackles 3.5,pickem_tackles
Carlton Blues v Brisbane Lions,Will Ashcroft,Tackles,2.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Will Ashcroft tackles 2.5,pickem_tackles
Carlton Blues v Brisbane Lions,Jarrod Berry,Tackles,3.0,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Jarrod Berry tackles 3,pickem_tackles
Carlton Blues v Brisbane Lions,Josh Dunkley,Tackles,6.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Josh Dunkley tackles 6.5,pickem_tackles
Carlton Blues v Brisbane Lions,Zac Bailey,Tackles,2.0,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Zac Bailey tackles 2,pickem_tackles
Carlton Blues v Brisbane Lions,Adam Cerra,Supercoach,98.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Adam Cerra supercoach 98.5,pickem_supercoach
Carlton Blues v Brisbane Lions,George Hewett,Supercoach,102.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,George Hewett supercoach 102.5,pickem_supercoach
Carlton Blues v Brisbane Lions,Patrick Cripps,Supercoach,92.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Patrick Cripps supercoach 92.5,pickem_supercoach
Carlton Blues v Brisbane Lions,Sam Docherty,Supercoach,90.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Sam Docherty supercoach 90.5,pickem_supercoach
Carlton Blues v Brisbane Lions,Charlie Curnow,Supercoach,67.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Charlie Curnow supercoach 67.5,pickem_supercoach
Carlton Blues v Brisbane Lions,Jacob Weitering,Supercoach,76.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Jacob Weitering supercoach 76.5,pickem_supercoach
Carlton Blues v Brisbane Lions,Nick Haynes,Supercoach,77.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Nick Haynes supercoach 77.5,pickem_supercoach
Carlton Blues v Brisbane Lions,Oliver Hollands,Supercoach,68.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Oliver Hollands supercoach 68.5,pickem_supercoach
Carlton Blues v Brisbane Lions,Dayne Zorko,Supercoach,102.5,,,2025-07-10T09:30:00.000Z,fd3011fa-3827-4775-bd84-ad84acdbb484,Dayne Zorko supercoach 102.5,pickem_supercoach
