Stats downloaded from Daily Fantasy Sports Australia (@DFSAustralia)
Help us to continue providing free content by buying a beer: https://ko-fi.com/dfsaustralia

player,team,opponent,year,round,kicks,handballs,marks,tackles,hitouts,ruckContests,freesFor,freesAgainst,goals,behinds,cbas,kickins,kickinsPlayon,tog,fantasyPoints,superCoachPoints,namedPosition
James Peatling,ADE,STK,2026,6,16,8,5,8,0,0,2,0,1,0,22,0,0,71,119,112,RR
Wayne Milera,ADE,STK,2026,6,20,9,9,3,0,0,0,0,0,0,1,4,4,81,117,118,WR
Josh Worrell,ADE,STK,2026,6,17,11,11,2,0,0,0,0,0,0,0,6,5,87,114,106,BPL
Taylor Walker,ADE,STK,2026,6,11,1,7,4,0,2,2,1,5,0,0,0,0,87,101,107,FF
Rory Laird,ADE,STK,2026,6,17,9,5,2,0,0,0,0,0,0,0,2,2,73,92,100,HBFL
Riley Thilthorpe,ADE,STK,2026,6,13,1,7,1,0,0,2,0,3,3,0,0,0,90,89,67,CHF
Sam Berry,ADE,STK,2026,6,10,10,0,7,0,0,1,0,0,1,21,0,0,71,80,78,C
Brayden Cook,ADE,STK,2026,6,14,5,7,1,0,0,0,1,1,0,0,0,0,81,80,98,HFFR
Alex Neal-Bullen,ADE,STK,2026,6,11,5,6,2,0,0,1,0,0,2,0,0,0,86,72,59,FPL
Izak Rankine,ADE,STK,2026,6,13,7,2,1,0,0,1,1,1,3,3,0,0,85,70,69,FPR
Josh Rachele,ADE,STK,2026,6,12,8,2,2,0,0,1,2,1,0,25,0,0,85,67,68,R
Ben Keays,ADE,STK,2026,6,8,2,1,6,0,0,1,1,2,1,0,0,0,89,66,87,HFFL
Lachlan McAndrew,ADE,STK,2026,6,4,5,1,3,29,67,2,1,0,0,26,0,0,75,65,79,RK
Max Michalanney,ADE,STK,2026,6,9,4,7,2,0,0,0,0,0,0,0,0,0,78,64,72,BPR
Jordon Butts,ADE,STK,2026,6,9,9,4,2,0,0,0,1,0,0,0,0,0,96,62,79,CHB
Charlie Edwards,ADE,STK,2026,6,12,6,4,2,0,0,0,3,0,1,21,0,0,72,60,56,INT
Nick Murray,ADE,STK,2026,6,10,3,6,1,0,0,1,0,0,0,0,0,0,93,59,78,FB
Hugh Bond,ADE,STK,2026,6,11,4,5,0,0,0,0,0,0,0,0,0,0,81,56,57,HBFR
Zac Taylor,ADE,STK,2026,6,10,3,3,2,0,0,2,0,0,1,0,0,0,67,56,52,INT
Finnbar Maley,ADE,STK,2026,6,2,5,3,3,6,18,0,0,1,0,5,0,0,53,49,52,INT
Luke Pedlar,ADE,STK,2026,6,7,6,3,0,0,0,2,0,0,1,0,0,0,59,45,41,INT
Luke Nankervis,ADE,STK,2026,6,4,2,2,2,0,0,0,2,0,0,0,0,0,63,24,27,INT
Isaac Cumming,ADE,STK,2026,6,1,4,0,2,0,0,0,0,0,0,0,0,0,75,19,33,WL
Darcy Wilmot,BRL,MEL,2026,6,20,7,9,1,0,0,0,0,0,0,0,2,2,83,105,83,HBFL
Harris Andrews,BRL,MEL,2026,6,14,8,12,2,0,0,0,0,0,0,0,0,0,96,102,141,FB
Will Ashcroft,BRL,MEL,2026,6,15,11,8,3,0,0,0,3,1,0,22,1,1,86,100,95,C
Lachie Neale,BRL,MEL,2026,6,13,18,6,1,0,0,0,0,0,0,31,0,0,84,97,111,R
Levi Ashcroft,BRL,MEL,2026,6,16,4,11,1,0,0,0,0,0,1,0,0,0,77,94,67,HFFR
Bruce Reville,BRL,MEL,2026,6,16,4,9,0,0,0,0,0,0,1,0,0,0,70,84,85,INT
Josh Dunkley,BRL,MEL,2026,6,12,9,6,4,0,0,0,2,0,1,26,0,0,83,83,83,RR
Keidean Coleman,BRL,MEL,2026,6,14,6,7,1,0,0,1,0,0,0,0,2,2,78,80,90,INT
Jaspa Fletcher,BRL,MEL,2026,6,13,5,7,1,0,0,0,1,1,0,0,1,1,93,77,69,CHB
Logan Morris,BRL,MEL,2026,6,9,3,7,1,0,0,2,1,3,1,0,0,0,88,76,89,FPL
Charlie Cameron,BRL,MEL,2026,6,12,2,4,1,0,0,0,0,3,0,0,0,0,85,74,102,HFFL
Lincoln McCarthy,BRL,MEL,2026,6,10,2,9,1,0,0,0,1,1,0,0,0,0,80,68,69,INT
Cam Rayner,BRL,MEL,2026,6,8,3,6,1,0,0,1,0,2,3,3,0,0,88,68,66,FF
Hugh McCluggage,BRL,MEL,2026,6,13,2,6,1,0,0,0,2,1,1,14,0,0,67,66,50,INT
Noah Answerth,BRL,MEL,2026,6,11,4,6,1,0,0,0,0,0,0,0,1,0,71,63,49,HBFR
Ryan Lester,BRL,MEL,2026,6,9,3,6,2,0,0,1,0,0,0,0,1,0,85,60,63,BPR
Kai Lohmann,BRL,MEL,2026,6,6,5,2,3,0,0,0,1,1,0,0,0,0,82,49,56,FPR
Sam Draper,BRL,MEL,2026,6,5,1,1,2,23,61,0,3,1,0,28,0,0,76,48,57,RK
Oscar Allen,BRL,MEL,2026,6,6,2,4,1,0,0,2,1,1,0,0,0,0,89,43,39,CHF
Zac Bailey,BRL,MEL,2026,6,9,5,2,0,0,0,0,2,0,2,9,0,0,86,39,52,WL
Ty Gallop,BRL,MEL,2026,6,7,1,4,1,0,0,2,1,0,0,0,0,0,95,38,57,BPL
Zane Zakostelsky,BRL,MEL,2026,6,3,1,3,2,6,17,2,0,0,0,7,0,0,31,36,29,INT
Jarrod Berry,BRL,MEL,2026,6,6,5,2,0,0,0,1,1,0,0,0,0,0,27,32,37,WR
Sam Walsh,CAR,COL,2026,6,11,17,7,7,0,0,0,3,0,0,23,0,0,84,107,101,R
Zac Williams,CAR,COL,2026,6,17,9,6,4,0,0,0,0,0,0,3,1,1,73,103,111,RR
Nic Newman,CAR,COL,2026,6,18,6,6,4,0,0,1,0,0,0,0,3,3,79,101,76,HBFR
Marc Pittonet,CAR,COL,2026,6,11,10,2,4,20,57,0,1,0,0,24,0,0,75,92,83,RK
Jacob Weitering,CAR,COL,2026,6,13,7,9,2,0,0,1,0,0,0,0,1,0,96,89,100,FB
Oliver Florent,CAR,COL,2026,6,17,6,3,4,0,0,0,1,0,0,0,5,4,87,85,100,HBFL
Adam Cerra,CAR,COL,2026,6,11,11,4,4,0,0,0,0,0,1,16,0,0,72,84,71,HFFL
Lachlan Cowan,CAR,COL,2026,6,12,8,8,2,0,0,0,0,0,0,0,0,0,72,84,74,INT
Matthew Carroll,CAR,COL,2026,6,13,4,6,1,0,0,1,0,2,1,0,0,0,87,83,79,WR
Patrick Cripps,CAR,COL,2026,6,7,18,2,6,0,0,0,2,0,0,25,0,0,81,81,79,C
Ben Ainsworth,CAR,COL,2026,6,10,9,4,1,0,0,1,1,2,1,0,0,0,85,75,64,HFFR
Brodie Kemp,CAR,COL,2026,6,10,6,8,0,0,0,0,2,2,1,0,0,0,92,73,69,CHB
Will Hayward,CAR,COL,2026,6,9,7,5,2,0,0,1,1,1,0,0,0,0,75,68,77,FPL
Nick Haynes,CAR,COL,2026,6,11,7,5,1,0,0,1,0,0,0,0,0,0,91,67,63,BPR
Jagga Smith,CAR,COL,2026,6,9,11,1,3,0,0,0,0,0,0,15,0,0,64,64,64,INT
Oliver Hollands,CAR,COL,2026,6,7,9,6,2,0,0,0,1,0,0,2,0,0,92,62,47,WL
Harry McKay,CAR,COL,2026,6,9,3,5,0,0,0,3,1,1,4,0,0,0,75,58,48,FF
Francis Evans,CAR,COL,2026,6,8,2,2,5,0,0,1,2,1,0,0,0,0,74,55,63,FPR
Mitch McGovern,CAR,COL,2026,6,5,2,1,4,0,0,1,1,3,0,0,0,0,75,54,66,INT
Talor Byrne,CAR,COL,2026,6,5,3,4,3,0,0,3,0,0,2,0,0,0,69,50,43,INT
Harry Dean,CAR,COL,2026,6,7,6,5,0,0,0,0,0,0,0,0,0,0,79,48,64,BPL
Lewis Young,CAR,COL,2026,6,5,3,2,3,7,20,0,1,0,0,4,0,0,64,43,44,INT
Elijah Hollands,CAR,COL,2026,6,1,0,0,0,0,0,0,0,0,0,0,0,0,60,3,4,CHF
Nick Daicos,COL,CAR,2026,6,15,24,6,2,0,0,2,0,1,1,24,0,0,94,128,140,CHF
Harry Perryman,COL,CAR,2026,6,17,10,11,3,0,0,0,1,0,1,0,0,0,83,114,101,INT
Dan Houston,COL,CAR,2026,6,18,7,12,2,0,0,0,1,0,1,0,0,0,75,110,87,CHB
Patrick Lipinski,COL,CAR,2026,6,14,13,7,3,0,0,2,0,1,1,0,0,0,79,110,105,WL
Darcy Cameron,COL,CAR,2026,6,14,4,6,5,20,47,3,1,0,0,7,0,0,78,108,96,RK
Josh Daicos,COL,CAR,2026,6,15,11,8,2,0,0,0,1,0,1,1,1,1,82,97,74,HBFR
Jack Crisp,COL,CAR,2026,6,10,11,7,4,0,0,0,0,0,0,6,0,0,83,89,69,R
Scott Pendlebury,COL,CAR,2026,6,10,14,6,3,0,0,0,0,0,0,21,0,0,79,88,96,C
Ned Long,COL,CAR,2026,6,10,12,4,5,0,0,0,0,0,1,13,0,0,71,87,70,RR
Jeremy Howe,COL,CAR,2026,6,20,2,9,0,0,0,1,2,0,0,0,7,5,97,86,93,FB
Brayden Maynard,COL,CAR,2026,6,14,4,6,4,0,0,1,0,0,0,0,2,2,82,85,80,BPR
Lachie Schultz,COL,CAR,2026,6,10,4,8,4,0,0,0,0,0,1,0,0,0,80,79,54,HFFR
Angus Anderson,COL,CAR,2026,6,12,5,3,5,0,0,3,0,0,0,8,0,0,69,78,64,INT
Beau McCreery,COL,CAR,2026,6,9,6,1,7,0,0,1,1,1,0,11,0,0,67,74,86,HFFL
