player,team,position,most_common_pos,notes
Alex Neal-Bullen,ADE,MedF,CHF,
Ben Keays,ADE,MedF,HFFR,
Brayden Cook,ADE,Wing,WL,
Chayce Jones,ADE,GenD,BPR,
Darcy Fogarty,ADE,KeyF,FPR,Tall forward - reclassify to KeyF
Hugh Bond,ADE,GenD,BPR,
Isaac Cumming,ADE,Wing,WR,
Izak Rankine,ADE,SmF,HFFL,
Jordan Dawson,ADE,InsM,C,
Jordon Butts,ADE,KeyD,FB,
Josh Rachele,ADE,FwdMid,R,
Josh Worrell,ADE,GenD,CHB,
Lachlan McAndrew,ADE,Ruck,RK,
Luke Pedlar,ADE,SmF,HFFL,
Nick Murray,ADE,GenD,BPL,
Riley Thilthorpe,ADE,KeyF,FPL,Tall forward - reclassify to KeyF
Rory Laird,ADE,GenD,HBFL,
Sam Berry,ADE,InsM,RR,
Taylor Walker,ADE,KeyF,FF,
Wayne Milera,ADE,GenD,HBFR,
Bruce Reville,BRL,Wing,WL,
Cam Rayner,BRL,MedF,FF,
Charlie Cameron,BRL,SmF,HFFL,
Darcy Fort,BRL,Ruck,RK,
Darcy Gardiner,BRL,KeyD,FB,
Darcy Wilmot,BRL,GenD,HBFL,
Dayne Zorko,BRL,GenD,HBFR,
Harris Andrews,BRL,KeyD,CHB,
Hugh McCluggage,BRL,InsM,C,
Jarrod Berry,BRL,Wing,WR,
Jaspa Fletcher,BRL,GenD,CHB,
Josh Dunkley,BRL,InsM,RR,
Kai Lohmann,BRL,MedF,FPL,
Lachie Neale,BRL,InsM,R,
Levi Ashcroft,BRL,Wing,WL,
Jack Payne,BRL, KeyD,,
Oscar McInerney,BRL,Ruck,,
Lincoln McCarthy,BRL,SmF,HFFR,
Logan Morris,BRL,KeyF,FF,
Noah Answerth,BRL,GenD,BPL,
Oscar Allen,BRL,KeyF,CHF,
Ryan Lester,BRL,GenD,BPR,
Ty Gallop,BRL,KeyF,FPR,
Will Ashcroft,BRL,InsM,C,
Zac Bailey,BRL,SmF,HFFR,
